ID,CAS,name,molecular formula,chemical structure,B3,C4,C3,C2,N+3,N3,N2,N1,O-1,O2,O1,F1,P4,S4,S3,S1,Cl1,R4,R5,R6,R7,OP
241,4455-15-6,Ethyl methanesulfonylacetate,C5H10O4S,,0,4,1,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,3.87
242,-,Acetic acid 2-methanesulfonyl-ethyl ester,C5H10O4S,,0,4,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3.95
243,-,"2-(Methylsulfonyl)ethyl 2,2,2-trifluoroacetate",C5H7F3O4S,,0,4,1,0,0,0,0,0,0,1,3,3,0,1,0,0,0,0,0,0,0,4.07
244,-,Methyl 2-methylsulfonylethyl carbonate,C5H10O5S,,0,4,1,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,3.94
245,-,Carbonic acid ethyl[2-(methylsulfonyl)ethyl] ester,C6H12O5S,,0,5,1,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,3.91
246,-,2-{[(2-methanesulfonylethoxy)carbonyl]oxy}propane,C7H14O5S,,0,6,1,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,3.89
247,39213-24-6,Methoxy(methylsulfonyl)methane,C3H8O3S,,0,3,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2.44
248,1977-37-3,Methyl propyl sulfone (MPS),C4H10O2S,,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3.71
249,-,sec-Butylisopropyl sulfone,C7H16O2S,,0,7,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2.96
250,-,Isobutylisopropyl sulfone,C7H16O2S,,0,7,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3.14
251,25062-87-7,1-Ethanesulfonyl-2-methoxy-ethane,C5H12O3S,,0,5,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,3.25
252,-,"1,1-Dioxo-1λ^6-thiolan-3-yl ethyl carbonate",C7H12O5S,,0,6,1,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,1,0,0,3.73
253,2374-66-5,Butyl butane-1-sulfonate,C8H18O3S,,0,8,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,3.77
254,946078-69-9,"5-Fluoro-1,2-oxathiolane 2,2-Dioxide",C3H5FO3S,,0,3,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,1,0,0,4.78
255,1120-71-4,"1,3-Propane sultone",C3H6O3S,,0,3,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,4.01
256,21806-61-1,"Prop-1-ene-1,3-sultone",C3H4O3S,,0,1,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,4.26
257,-,Methyl(fluoromethyl) sulfone,C2H5FO2S,,0,2,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,3.96
258,-,Difluoro(methylsulfonyl)methane,C2H4F2O2S,,0,2,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,3.98
259,421-82-9,Methyltrifluoromethylsulfone,C2H3F3O2S,,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,4.52
260,2351-74-8,Chloromethylsulfonylmethane ,C2H5ClO2S,,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,4.26
261,397248-09-8,"Thiophene, 2-fluorotetrahydro-, 1,1-dioxide",C4H7FO2S,,0,4,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,3.45
262,397248-10-1,"Thiophene, 3-fluorotetrahydro-, 1,1-dioxide",C4H7FO2S,,0,4,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,3.83
263,-,"1,1,1-Trifluoro-2-methylsulfonylethane ",C3H5F3O2S,,0,3,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,4.58
264,13003-57-1,Trifluoromethanesulphonylethane ,C3H5F3O2S,,0,3,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,4.36
265,-,"1,1,1-Trifluoro-2-methylsulfonylpropane",C4H7F3O2S,,0,4,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,4.06
266,57964-42-8,2-(Trifluoromethanesulfonyl)propane ,C4H7F3O2S,,0,4,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,3.29
267,41505-91-3,Methyl 2-(fluorosulfonyl)acetate,C3H5FO4S,,0,2,1,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,4.68
268,-,3-Cyanopropane-1-sulfonyl fluoride,C4H6FNO2S,,0,3,0,1,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,5.16
269,1633-83-6,"1,4-Butane sultone",C4H8O3S,,0,4,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,4.19
270,512-56-1,Trimethyl phosphate (TMP),C3H9O4P ,,0,3,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,3.95
271,78-40-0,Triethyl phosphate (TEP) ,C6H15O4P,,0,6,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,3.82
272,756-79-6,Dimethyl methylphosphonate,C3H9O3P,,0,3,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,3.73
273,110-86-1,Pyridine (py),C5H5N ,,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.99
274,616-47-7,1-Methylimidazole,C4H6N2,,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.29
275,616-45-5,2-Pyrrolidinone,C4H7NO,,0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3.13
276,2295-35-4,Pyrrolidine-2-thione,C4H7NS,,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.22
277,123-56-8,Succinimide,C4H5NO2,,0,2,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3.56
278,872-50-4,1-Methyl-2-pyrrolidinone (NMP),C5H9NO ,,0,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.46
